,searchword,search_date,search_time
0,뭘 많이 하긴 하는데,2023-02-04,오후 10:55
1,파카,2023-02-04,오전 2:02
2,Lck 한화,2023-02-02,오후 11:23
3,한화 승리,2023-02-02,오후 11:22
4,한화,2023-02-02,오후 11:22
5,Lck,2023-02-02,오후 10:33
6,캡틴김수호,2023-02-02,오후 10:33
7,춘자,2023-02-02,오후 10:31
8,킹설아,2023-02-02,오후 10:31
9,전데연,2023-02-02,오후 10:31
10,도파,2023-02-02,오후 10:30
11,파카,2023-02-02,오후 10:30
12,페이팔,2023-02-02,오후 10:30
13,헤이팔,2023-02-02,오후 10:30
14,피터 틸,2023-02-02,오후 10:29
15,핵,2023-02-02,오후 10:13
16,손석희,2023-02-02,오후 10:09
17,https://plusxsharex.fastcampus.co.kr/?utm_source=youtube&utm_medium=display&utm_campaign=prd^221221^main&utm_content=...,2023-02-02,오후 5:45
18,현우진,2023-02-01,오후 7:57
19,울프 분석데스크,2023-02-01,오후 7:52
20,울프 분석,2023-02-01,오후 7:52
21,울프,2023-02-01,오후 7:51
22,데이터 포트폴리오,2023-02-01,오후 3:50
23,기업제안,2023-02-01,오전 11:16
24,마약 뉴스,2023-02-01,오전 1:15
25,마약,2023-02-01,오전 1:15
26,중독,2023-02-01,오전 1:14
27,마약 중독,2023-02-01,오전 1:14
28,CX,2023-01-31,오후 11:28
29,https://www.youtube.com/watch?v=WsjXyGe6jmM,2023-01-31,오후 8:45
30,분석가,2023-01-31,오전 9:54
31,옥냥이,2023-01-31,오전 9:53
32,아리연습중,2023-01-31,오전 9:53
33,세글자,2023-01-31,오전 9:53
34,데이터드리븐,2023-01-31,오전 9:52
35,병병병,2023-01-31,오전 9:51
36,만 당,2023-01-31,오전 9:51
37,발 젭,2023-01-31,오전 9:51
38,팡이요,2023-01-31,오전 9:51
39,팍플레이,2023-01-31,오전 9:51
40,야옹해 바바,2023-01-31,오전 9:50
41,lck,2023-01-31,오전 9:50
42,교육운영매니저,2023-01-30,오후 11:26
43,기업 선택 기준,2023-01-30,오전 9:04
44,망하는 회사 특징,2023-01-30,오전 9:04
45,회사,2023-01-30,오전 9:04
46,5WHY,2023-01-29,오후 2:37
47,do good with data,2023-01-29,오후 2:10
48,do good with data let's talk about,2023-01-29,오후 2:10
49,면접왕 이형  필살기,2023-01-29,오후 12:35
50,면접왕 이형  자기소개서,2023-01-29,오후 12:35
51,면접왕 이형,2023-01-29,오후 12:29
52,데이터분석가 포트폴리오,2023-01-29,오전 10:55
53,lck,2023-01-28,오후 5:45
54,하츠 오브 스톤,2023-01-28,오전 10:19
55,메이플스토리,2023-01-27,오후 5:18
56,G식백과,2023-01-27,오후 5:07
57,킥오프,2023-01-27,오후 4:33
58,페이커 노스킨,2023-01-27,오후 4:12
59,Lck,2023-01-27,오후 4:04
60,팍플레이,2023-01-27,오후 4:04
61,표식,2023-01-27,오후 3:54
62,포식,2023-01-27,오후 3:50
63,퇴사한 이형,2023-01-25,오후 5:59
64,교육운영 직무,2023-01-25,오후 5:30
65,교육운영 포트폴리오,2023-01-25,오후 5:30
66,직업의모든것,2023-01-25,오후 5:04
67,취업포트폴리오,2023-01-25,오후 4:59
68,김달,2023-01-25,오후 3:58
69,ces 2023,2023-01-25,오후 1:01
70,뻘짓연구소 맥북,2023-01-24,오전 8:21
71,뻘짓연구소,2023-01-24,오전 8:21
72,게임을 삽시다,2023-01-21,오후 1:59
73,영레기,2023-01-20,오후 7:00
74,명예훈장,2023-01-19,오후 12:38
75,자연어처리,2023-01-16,오후 5:06
76,면접왕이형 지원동기,2023-01-15,오후 3:32
77,fasttext,2023-01-14,오후 4:10
78,부트캠프,2023-01-14,오후 3:43
79,자연어처리,2023-01-14,오후 3:00
80,부트캠프 메타코드M,2023-01-14,오후 1:23
81,부트캠프,2023-01-14,오후 1:23
82,깃허브,2023-01-14,오전 12:34
