,title,category,running_time,watch_date,watch_time,watched_YN
0,이직해서 절대 하면 안되는 것,노하우/스타일,12:32,2023-02-05,오전 12:09,0
1,원조의 품격 | 농심 vs. T1 게임2 하이라이트 | 02.04 | 2023 LCK 스프링 스플릿,게임,11:43,2023-02-04,오후 9:33,1
2,AI가 견적낸 컴퓨터를 조립해봤는데.. 갓성비 실화입니까?!ㄷㄷ 'ChatGPT로 컴퓨터 견적 내보기',과학기술,9:05,2023-02-04,오후 9:26,1
3,초가스 키우기 | 디알엑스 vs. 한화생명 게임1 하이라이트 | 02.04 | 2023 LCK 스프링 스플릿,게임,12:33,2023-02-04,오후 8:19,1
4,신궁 | 농심 vs. T1 게임1 하이라이트 | 02.04 | 2023 LCK 스프링 스플릿,게임,9:38,2023-02-04,오후 8:10,1
5,"[스티브 잡스] A급 인재와 B급, C급 직원의 차이 (한영 자막)",인물/블로그,7:27,2023-02-04,오후 8:02,1
6,Crimson Raptor Champion Spotlight | Parody - League of Legends,게임,9:45,2023-02-04,오전 1:58,1
7,젠지 vs. 리브 샌박 | 매치26 하이라이트 | 02.03 | 2023 LCK 스프링 스플릿,게임,45:49,2023-02-04,오전 12:54,1
8,KT vs. 광동 | 매치25 하이라이트 | 02.03 | 2023 LCK 스프링 스플릿,게임,26:07,2023-02-04,오전 12:53,1
9,"솔직히, 연봉 얼마 받으세요? 직무, 연차별 현실 연봉 | ①광화문",노하우/스타일,4:48,2023-02-03,오전 11:46,1
10,갤S23 출시됐지만…값비싼 신제품 대신 중고 인기 / KBS  2023.02.03.,뉴스,2:12,2023-02-03,오전 11:43,1
11,이직을 성공할 수 밖에 없는 방법,노하우/스타일,10:57,2023-02-03,오전 11:36,1
12,"[퍼센트] 명품 소비 자극한 '불평등'…MZ 69.5% ""계층 이동 힘들 것"" / JTBC 뉴스룸",뉴스,4:00,2023-02-03,오전 11:31,1
13,"코딩공부 작심삼일 실패하는 이유 (파이썬,C언어 먼저하면 망함) 부트캠프 강사가 알려주는 코딩 공부법, 코딩 독학하는 이들을 위한 영상",노하우/스타일,2:23,2023-02-03,오전 2:00,1
14,회사에서 오지랖이 필요할까,노하우/스타일,8:07,2023-02-02,오후 11:23,1
15,구마유시 기강잡는 페이커 (feat. 페초리),게임,1:33,2023-02-02,오후 11:23,1
16,포병지에 이은 포까뮤,게임,0:30,2023-02-02,오후 10:32,1
