,searchword,search_date,search_time
0,4평 역세권 주택,2023-02-16,오후 1:11
1,lck 매치 41,2023-02-16,오전 8:27
2,오너 니달리 펜타,2023-02-16,오전 8:24
3,용팔이,2023-02-13,오후 3:32
4,용훈,2023-02-13,오후 3:32
5,허수아비,2023-02-13,오후 1:11
6,용팔이훈련소,2023-02-13,오후 12:45
7,용훈,2023-02-13,오후 12:44
8,용팔이 훈련소,2023-02-13,오전 10:40
9,용훈,2023-02-13,오전 10:40
10,클린 코드,2023-02-13,오전 10:08
11,코드 클렌징,2023-02-13,오전 10:08
12,데이터홀릭 데이터엔지니어,2023-02-13,오전 9:09
13,농업,2023-02-12,오후 7:43
14,argparser,2023-02-12,오후 4:27
15,화이트노이즈,2023-02-12,오후 3:31
16,플레이리스트,2023-02-12,오후 3:31
17,유튜브 데이터 api,2023-02-12,오후 2:01
18,api 사용법,2023-02-12,오후 1:56
19,의료기기 엔지니어링,2023-02-11,오전 11:12
20,데이터 엔지니어,2023-02-10,오후 11:45
21,면접왕 이형,2023-02-10,오후 11:38
22,사망여우,2023-02-10,오후 11:38
23,https://www.youtube.com/watch?v=qEuUSYX372I,2023-02-10,오후 7:44
24,페이지,2023-02-10,오후 7:13
25,춘자,2023-02-10,오후 7:13
26,괴물쥐,2023-02-10,오후 7:05
27,파카,2023-02-10,오후 7:05
28,랄로,2023-02-10,오후 7:05
29,씨맥,2023-02-10,오후 7:01
30,플레임,2023-02-10,오후 6:41
31,권고사직,2023-02-07,오전 12:58
32,의료정보학,2023-02-07,오전 12:46
33,밍밍츄츄,2023-02-06,오후 11:00
34,나초,2023-02-06,오후 10:59
35,팍플레이,2023-02-06,오후 10:59
36,g식백과,2023-02-06,오후 9:59
37,면접왕 이형,2023-02-06,오후 1:43
38,퇴사한 이형,2023-02-06,오후 1:42
39,제이콥 이형,2023-02-06,오후 1:42
40,인싸담당자,2023-02-06,오후 1:42
41,중고차파괴자,2023-02-06,오후 1:41
42,시계열분석,2023-02-05,오후 6:47
43,시계열,2023-02-05,오후 6:47
44,바비톡 다나카,2023-02-05,오후 5:51
45,수수르가 싯가데스까,2023-02-05,오후 5:51
46,https://fastcampus.co.kr/category_online_kfa?utm_source=youtube&utm_medium=display&utm_campaign=prd%5E221229%5E34305&...,2023-02-05,오후 2:56
47,비서,2023-02-05,오후 2:51
48,playlist,2023-02-05,오후 1:46
49,I ain't worried acoustic,2023-02-05,오후 1:42
50,시게열분석,2023-02-05,오전 8:59
51,뭘 많이 하긴 하는데,2023-02-04,오후 10:55
52,파카,2023-02-04,오전 2:02
53,Lck 한화,2023-02-02,오후 11:23
54,한화 승리,2023-02-02,오후 11:22
55,한화,2023-02-02,오후 11:22
56,Lck,2023-02-02,오후 10:33
