,title,channel,running_time,watch_date,watch_time,category_id,category_title,watched (%),account
0,"[여의도] 연봉 얼마 받으세요? | 직무,연차별 현실 연봉④",캐치TV,3:39,2023-02-19,오전 9:49,27,Education,1.0,woghks.study
1,몇 년째 인생이 달라진 게 없다면,말많은소녀,10:57,2023-02-19,오전 9:44,27,Education,1.0,woghks.study
2,"[한눈에 이슈] ""그동안 감사했습니다...지금까지 대한민국이었습니다"" 이 말이 곧 현실로? / KBS 2023.02.11.",KBS News,17:39,2023-02-19,오전 9:39,25,News & Politics,0.77,woghks.study
3,(30대 중반이 말하는) 돈과 진로에 관해 20대가 착각하는 것들,드로우앤드류,15:02,2023-02-19,오전 9:30,27,Education,1.0,woghks.study
4,이건 정말 아닌 것 같습니다.,북토크,11:46,2023-02-19,오전 9:28,22,People & Blogs,0.36,woghks.study
5,연봉 얼마가 적당할까? l 2030에게 물어봤습니다 EP.1 '초봉/신입사원연봉' 편,AND (ft.인싸담당자),3:01,2023-02-19,오전 9:22,26,Howto & Style,1.0,woghks.study
6,[Room Tour](ENG/JPN) 첫 자취 룸투어🌷5평에 소파를 두는 여유😌 | 기찻길 옆 오막살이🚃,리혜leehye,11:48,2023-02-16,오후 1:14,22,People & Blogs,0.88,woghks.study
7,4.5평 초미니 원룸의 현실적인 룸투어 | 역세권 청년주택 랜선 집들이 😋 부끄부끄,째용째용,9:46,2023-02-16,오후 1:14,22,People & Blogs,0.1,woghks.study
8,ROOM TOUR🏠ㅣ5평 원룸에 나를 담다. 서울상경 한 달 차 오늘의집 VIP?!😲,honzz횬쯔,15:48,2023-02-16,오후 1:14,22,People & Blogs,0.1,woghks.study
9,[Remote Zoom터뷰] Grepp USA CTO 겸 Data팀 리드 Max (한기용),그렙,6:10,2023-02-16,오전 11:48,22,People & Blogs,0.1,woghks.study
10,[NLP] 텍스트 전처리와 언어 모델 - Zayden,그렙,47:58,2023-02-16,오전 11:47,22,People & Blogs,0.1,woghks.study
11,[NLP] 단어표현과 유사도 - Pepper,그렙,17:00,2023-02-16,오전 11:47,22,People & Blogs,0.3,woghks.study
12,G SHOCK DW 5600E-1 Breaks GUINNESS WORLD RECORDS™ Title,Casio Corporate Office,1:14,2023-02-16,오전 11:05,24,Entertainment,1.0,woghks.study
13,G-Shock: Original 1983 Television Commercial,G-Shock Australia,0:16,2023-02-16,오전 11:05,28,Science & Technology,1.0,woghks.study
14,"리부트 빨간약 사태, 그 원인과 해결방안 [메이플스토리 일반섭/리부트]",메이플 이득충,23:49,2023-02-16,오전 10:40,20,Gaming,1.0,woghks.study
15,"착각해야 성공하는 이유(경험담, 동기부여 주의)",자유여량,5:42,2023-02-16,오전 10:40,22,People & Blogs,0.1,woghks.study
16,연봉 4600 퇴사 결정(그것이 가져온 결과),자유여량,5:09,2023-02-16,오전 10:38,22,People & Blogs,0.71,woghks.study
17,대기업 10년 다니면 받는 연봉과 실수령액,자유여량,4:15,2023-02-16,오전 10:33,22,People & Blogs,1.0,woghks.study
18,회사에서 자꾸 잡일을 시킨다면 이렇게 하세요.,드로우앤드류,11:52,2023-02-16,오전 9:16,27,Education,0.84,woghks.study
19,‘모집정원 4배’ 중등 교사 감축…“사범대 나와야 교사” / KBS  2021.12.10.,KBS News,1:54,2023-02-16,오전 9:16,25,News & Politics,1.0,woghks.study
20,‘열정’ 만으론 못 버틴다…현장 떠나는 청년 노동자들 [9시 뉴스] / KBS  2023.02.10.,KBS News,3:25,2023-02-16,오전 9:13,25,News & Politics,1.0,woghks.study
21,KT vs. 디알엑스 | 매치41 하이라이트 | 02.15 | 2023 LCK 스프링 스플릿,LCK,32:00,2023-02-16,오전 8:27,20,Gaming,0.5,woghks.study
22,펜타킬을 또 스틸당한 페이커의 한마디ㅋㅋㅋ (+오너의 감봉발언),롤스토리,1:15,2023-02-16,오전 8:25,20,Gaming,1.0,woghks.study
23,한화생명 vs. 농심 | 매치42 하이라이트 | 02.15 | 2023 LCK 스프링 스플릿,LCK,30:14,2023-02-16,오전 8:07,20,Gaming,0.76,woghks.study
24,"#고린도전서강해 01/42_고린도전서 1:1~3 ""하나님의 교회(1)"" (설교 : 이재철)",100주년기념교회,58:06,2023-02-16,오전 7:51,29,Nonprofits & Activism,0.1,woghks.study
25,Ep(194) Data Engineer 로드맵 톺아보기2,데이터홀릭,1:00:04,2023-02-13,오전 9:59,28,Science & Technology,0.8,woghks.study
26,Ep(193) Data Engineer 로드맵 톺아보기,데이터홀릭,47:00,2023-02-13,오전 9:09,28,Science & Technology,1.0,woghks.study
27,대기업 퇴사 후 중소기업 입사해보니..,캐치TV,8:44,2023-02-12,오후 5:59,27,Education,0.1,woghks.study
28,“25만 원 더 줬더니” 장기 근속률 쑥↑…지역소비 촉진까지 / KBS  2023.02.11.,KBS대전 뉴스,1:48,2023-02-12,오후 5:40,25,News & Politics,0.2,woghks.study
29,카이스트 출신 개발자가 DJ로 스트레스 푸는 이유?ㅣ118억 투자유치 성공한 웹툰 3D배경 플랫폼,메타코드M,4:57,2023-02-12,오후 5:21,27,Education,0.71,woghks.study
30,경인권 대학 대규모 미달.. 1천 명 추가모집,OBS뉴스,1:55,2023-02-12,오후 4:53,25,News & Politics,1.0,woghks.study
31,백색소음 | 대형 독서실 백색소음기 | 공부용 타이머 Study Timer 3시간,White Noise Box백색소음 상자,3:00:00,2023-02-12,오후 4:34,22,People & Blogs,0.26,woghks.study
32,파이썬 argparse,봉상ai,26:26,2023-02-12,오후 4:27,28,Science & Technology,0.1,woghks.study
33,🔥 공부할 때 듣는 장작 타는 소리 / Fireplace sound,카민Carmine,2:00:16,2023-02-12,오후 3:33,10,Music,0.44,woghks.study
