,searchword,search_date,search_time
0,파카,2023-03-27,오후 10:28
1,데이터 분산,2023-03-27,오후 9:48
2,digimon adventure ost,2023-03-27,오후 9:26
3,인공지능 모델 문제 정의,2023-03-27,오후 9:06
4,인공지능 문제 정의,2023-03-27,오후 9:06
5,fourplay snowbound,2023-03-27,오후 8:42
6,랄로,2023-03-27,오후 8:42
7,dota openai,2023-03-27,오후 7:06
8,lck,2023-03-27,오후 6:37
9,woghks.study,2023-03-27,오후 4:40
10,모두의연구소,2023-03-27,오전 9:25
11,모두의연구소,2023-03-26,오후 11:25
12,https://www.youtube.com/watch?v=jKONrQ3ZEKE,2023-03-26,오후 9:02
13,생활코딩,2023-03-26,오후 8:22
14,머신러닝,2023-03-26,오후 4:00
15,아이펠톤,2023-03-26,오후 3:50
16,모두의연구소,2023-03-26,오후 3:49
17,lck,2023-03-26,오전 9:33
18,crashcourse mathematics,2023-03-25,오후 7:59
19,crashcourse,2023-03-25,오후 7:59
20,nlp,2023-03-25,오후 7:25
21,모두의연구소,2023-03-25,오후 6:35
22,데이터 사이언티스트,2023-03-25,오후 3:54
23,AI엔지니어,2023-03-25,오전 10:59
24,아이펠,2023-03-24,오후 5:31
25,파카,2023-03-23,오후 2:57
26,디지몬 볼레로,2023-03-23,오전 9:37
27,power up,2023-03-23,오전 9:17
28,불광천 생태체험방,2023-03-22,오후 5:26
29,crashcourse,2023-03-21,오후 9:12
30,모두의연구소,2023-03-21,오후 8:25
31,멋쟁이사자처럼,2023-03-20,오후 11:41
32,테킷스쿨,2023-03-20,오후 11:40
33,데이터톤,2023-03-20,오후 11:40
34,랄로,2023-03-20,오후 4:11
35,콜미 페이커,2023-03-20,오후 4:08
36,메이플,2023-03-20,오전 3:40
37,퓨처머넥트,2023-03-18,오후 3:31
38,SK Plnet,2023-03-18,오후 2:06
39,모두의연구소,2023-03-18,오후 1:57
40,퓨처커넥트,2023-03-18,오전 12:29
41,erp,2023-03-17,오후 2:02
42,맑음,2023-03-17,오후 1:12
43,막음,2023-03-17,오후 1:12
44,세글자,2023-03-17,오후 1:12
45,데이터분석 프로젝트,2023-03-17,오전 11:36
46,파카,2023-03-16,오후 11:50
47,발젭,2023-03-16,오후 11:38
48,https://www.youtube.com/watch?v=IkUeeVN_Lyc,2023-03-16,오후 11:36
49,아이유,2023-03-16,오후 11:35
50,악동뮤지션,2023-03-16,오후 11:34
51,파카,2023-03-16,오전 9:13
52,발젭,2023-03-16,오전 1:52
53,야옹해 바바,2023-03-16,오전 1:52
54,서폿 미포,2023-03-14,오후 12:46
55,서폿 미ㅗ,2023-03-14,오후 12:46
56,파카,2023-03-14,오후 12:29
57,이송경,2023-03-14,오후 12:28
58,바비톡 이송경,2023-03-14,오후 12:28
59,헤이딜러 이송경,2023-03-14,오후 12:28
60,헤이딜러 광고모델,2023-03-14,오후 12:28
61,헤이딜러 김성경,2023-03-14,오후 12:28
62,바비톡 김성경,2023-03-14,오후 12:27
63,바비톡 여자 모델,2023-03-14,오후 12:27
64,바비톡 다나카,2023-03-14,오후 12:26
65,옥민송,2023-03-12,오후 12:55
66,다나카,2023-03-12,오후 12:33
67,https://www.youtube.com/watch?v=jR2cJvE2RJA,2023-03-12,오후 12:31
68,스팀 저사양 게임,2023-03-11,오후 11:57
