,title,channel,running_time,watch_date,watch_time,category_id,category_title,watched (%),account
0,"[포켓이슈] '공무원이 최고야'는 옛말, 지금은 '000'이 최고야",연합뉴스 Yonhapnews,2:11,2023-03-28,오후 2:16,25,News & Politics,1.0,woghks.study
1,[최종성과발표회] 네뷸라_52헤르츠 (메타버스 아카데미),메타버스 아카데미,10:48,2023-03-28,오후 12:55,27,Education,1.0,woghks.study
2,대부분 99.9%의 사람들이 이걸 몰라서 부자가 되지 못해요 | 되더라 - 현우진 강사가 알려주는 AI시대에 살아남는 법 | 공부자극 | 동기부여ㅣ삶의 자세ㅣ인생조언ㅣ마인드포커스,마인드포커스 : 성공으로 이끄는 힘!,16:42,2023-03-28,오후 12:48,27,Education,0.1,woghks.study
3,"빅 데이터 분산 처리 기술, 맵리듀스, 매핑, 셔플링, 리듀싱 2021학년도 EBS 수능완성 실전 3회 16번~19번 기술 지문 해설 일산국어학원,후곡국어학원,운정국어학원,일산논술","양병철국어,인문논술",22:36,2023-03-27,오후 9:48,27,Education,0.25,woghks.study
4,Digimon Adventure OST #16 - Kyoufu no Ashiato,OSTDigimon,1:20,2023-03-27,오후 9:48,10,Music,1.0,woghks.study
5,Digimon Adventure OST #15 - Hirogaru Fuan,OSTDigimon,1:15,2023-03-27,오후 9:46,10,Music,1.0,woghks.study
6,Digimon Adventure OST #14 - Ijou Jitai Hassei!!,OSTDigimon,1:33,2023-03-27,오후 9:45,10,Music,1.0,woghks.study
7,Digimon Adventure OST #13 - Iya na Yokan,OSTDigimon,1:21,2023-03-27,오후 9:43,10,Music,1.0,woghks.study
8,Digimon Adventure OST #12 - Bokura wa Itsumo,OSTDigimon,1:10,2023-03-27,오후 9:42,10,Music,1.0,woghks.study
9,"Digimon Adventure OST #11 - Bokutachi, Digimon!!",OSTDigimon,1:32,2023-03-27,오후 9:41,10,Music,1.0,woghks.study
10,Digimon Adventure OST #10 - Little Brightness ~Takeru no Theme~,OSTDigimon,1:30,2023-03-27,오후 9:39,10,Music,1.0,woghks.study
11,Digimon Adventure OST #9 - Blue Faith ~Jou no Theme~,OSTDigimon,1:13,2023-03-27,오후 9:38,10,Music,1.0,woghks.study
12,Digimon Adventure OST #8 - Sweet Innocent ~Mimi no Theme~,OSTDigimon,1:23,2023-03-27,오후 9:36,10,Music,1.0,woghks.study
13,Digimon Adventure OST #7 - Digital Scratch! ~Koushiro no Theme~,OSTDigimon,1:33,2023-03-27,오후 9:35,10,Music,1.0,woghks.study
14,Digimon Adventure OST #6 - Run With The Wind ~Yamato no Theme~,OSTDigimon,1:40,2023-03-27,오후 9:33,10,Music,1.0,woghks.study
15,Digimon Adventure OST #5 - Straight From The Heart ~Sora no Theme~,OSTDigimon,1:49,2023-03-27,오후 9:31,10,Music,1.0,woghks.study
16,Digimon Adventure OST #4 - Adventurer ~Taichi no Theme~,OSTDigimon,2:40,2023-03-27,오후 9:29,10,Music,1.0,woghks.study
17,Digimon Adventure OST #3 - Subtitle,OSTDigimon,0:13,2023-03-27,오후 9:28,10,Music,1.0,woghks.study
18,Digimon Adventure OST #2 - Avant,OSTDigimon,0:33,2023-03-27,오후 9:28,10,Music,1.0,woghks.study
19,Digimon Adventure OST #1 - Butter-Fly (TV Size),OSTDigimon,1:40,2023-03-27,오후 9:26,10,Music,1.0,woghks.study
20,Santa Claus Is Coming To Town,Fourplay - Topic,3:45,2023-03-27,오후 9:22,10,Music,0.1,woghks.study
21,Fourplay - Christmas Time Is Here (audio),FourplayVEVO,4:13,2023-03-27,오후 9:18,10,Music,1.0,woghks.study
22,Fourplay - Amazing Grace (audio),FourplayVEVO,4:45,2023-03-27,오후 9:13,10,Music,1.0,woghks.study
23,River,Fourplay - Topic,5:49,2023-03-27,오후 9:07,10,Music,1.0,woghks.study
24,The Ivy Variations,Fourplay - Topic,3:37,2023-03-27,오후 9:03,10,Music,1.0,woghks.study
25,The Christmas Song (feat. Eric Benet),Fourplay - Topic,5:58,2023-03-27,오후 8:57,10,Music,1.0,woghks.study
26,Snowbound,Fourplay - Topic,5:03,2023-03-27,오후 8:52,10,Music,1.0,woghks.study
27,Hark! The Herald Angels Sing,Fourplay - Topic,4:48,2023-03-27,오후 8:47,10,Music,1.0,woghks.study
28,Angels We Have Heard On High,Fourplay - Topic,4:52,2023-03-27,오후 8:42,10,Music,1.0,woghks.study
29,결혼은 무임승차가 아니다 | 절대로 결혼하면 안되는 사람 유형,아는 변호사 Korea Lawyer,12:11,2023-03-27,오후 8:42,27,Education,0.1,woghks.study
30,ㅈㅅ기업 다닌다고 불평하면 안되는 이유,드로우앤드류,14:37,2023-03-27,오후 8:09,27,Education,1.0,woghks.study
31,이런 남자랑 자면 무조건 버림받습니다,김달,12:32,2023-03-27,오후 7:55,24,Entertainment,1.0,woghks.study
32,결혼 준비가 안 돼있는 남자와의 연애,김달,10:57,2023-03-27,오후 7:44,24,Entertainment,1.0,woghks.study
33,이 세상 모든 남자들에게,김달,8:41,2023-03-27,오후 7:34,24,Entertainment,1.0,woghks.study
34,MIT Introduction to Deep Learning | 6.S191,Alexander Amini,58:12,2023-03-27,오후 7:32,28,Science & Technology,0.1,woghks.study
35,OpenAI vs HUMANS   AI vs 99 95% BEST PLAYERS 5v5 DOTA 2,Real Stories,18:53,2023-03-27,오후 7:06,22,People & Blogs,0.2,woghks.study
36,StableDiffusion과 ChatGPT의 기술에 대한 이해와 비즈니스 인사이트 I 모두의연구소 모두팝,모두의연구소,2:03:19,2023-03-27,오후 6:53,27,Education,0.11,woghks.study
37,젠지 vs. 한화생명 | 2경기 매치 하이라이트 | 03.26 | 2023 LCK 플레이오프 2라운드,LCK,57:22,2023-03-27,오후 6:37,20,Gaming,0.1,woghks.study
38,T1 vs KT | 2023 LCK Spring Playoffs Round2 Match1,LCK Global,6:09:43,2023-03-27,오후 6:37,20,Gaming,0.1,woghks.study
39,귀촌 30대 시골 돈벌이 충격 현실.. 왜 이런 건 아무도 말해주지 않는 거죠?,리틀타네의 슬기로운 생활,8:59,2023-03-27,오후 6:36,22,People & Blogs,0.1,woghks.study
40,"30대 커리어 전환, 저 AI 엔지니어로 직무 전환했어요! [데이터 취업 스쿨]",제로베이스,3:11,2023-03-27,오후 5:46,27,Education,0.1,woghks.study
41,"우리 직장인의 평균 월급, 고소득 업계를 알아보자 (ft. 최신 통계)",시골쥐의 도시생활,11:10,2023-03-27,오전 9:18,27,Education,0.84,woghks.study
42,"Faker on T1 vs KT ""We managed to stay focused because of Zeus & Gumayusi""",KORIZON Esports,5:39,2023-03-27,오전 9:16,20,Gaming,0.25,woghks.study
43,논문 분석은 인공지능에게 맡겨라,음악샘miae,1:33,2023-03-27,오전 9:15,27,Education,1.0,woghks.study
44,[AIFFEL 아이펠톤] 나와 너가 친구처럼 스케치 IU Sketch,모두의연구소,19:57,2023-03-26,오후 11:26,27,Education,0.2,woghks.study
45,면접관이 탈락시키고 vs. 합격시키고 싶은 이직사유,면접왕 이형,16:37,2023-03-26,오후 11:07,26,Howto & Style,0.74,woghks.study
46,뉴욕의 자수성가 사업가가 방황하는 20대에게,EO 이오,0:46,2023-03-26,오후 10:45,27,Education,0.1,woghks.study
47,"데이터분석가로 이직할 때, 가장 중요한것은? (SQL 역량, 프로젝트 경험, 도메인 경험)",메타코드M,4:44,2023-03-26,오후 10:43,27,Education,1.0,woghks.study
48,[슈카월드] 에코프로비엠의 놀라운 급등/ 함정에 빠진 영화관들/ 아슬아슬한 은행 위기/ 사이비 종교/ SNS는 우리를 불행하게 만드는가/ 이스라엘 역대 최대 규모 시위,슈카월드,2:52:32,2023-03-26,오후 9:05,24,Entertainment,0.0,woghks.study
49,"Machine learning 1 - 9. 모르면 마법, 알면 기술",생활코딩,9:08,2023-03-26,오후 8:57,28,Science & Technology,0.1,woghks.study
50,Machine learning 1 - 8. 애플리케이션과 프로그램,생활코딩,3:27,2023-03-26,오후 8:54,28,Science & Technology,1.0,woghks.study
51,Machine learning 1 - 7. 머신러닝머신,생활코딩,5:41,2023-03-26,오후 8:46,28,Science & Technology,1.0,woghks.study
52,Machine learning 1 - 6. 모델,생활코딩,2:40,2023-03-26,오후 8:40,28,Science & Technology,1.0,woghks.study
53,Machine learning 1 - 5. Teachable machine (2023년 개정),생활코딩,7:27,2023-03-26,오후 8:30,28,Science & Technology,1.0,woghks.study
54,Machine learning 1- 4. 궁리하는 습관,생활코딩,4:37,2023-03-26,오후 8:24,28,Science & Technology,1.0,woghks.study
55,Machine learning 1- 3. 꿈,생활코딩,4:22,2023-03-26,오후 8:18,28,Science & Technology,1.0,woghks.study
56,Machine learning 1 - 2. 머신러닝이란?,생활코딩,4:59,2023-03-26,오후 8:17,28,Science & Technology,1.0,woghks.study
57,"[ExCampus 시즌6] 나의 도전 여정기: 영화감독에서 스타트업 대표까지 (QnA)(성균관대학교 의과대학 교수, 영화감독 박재현)",ExCampus,6:17,2023-03-26,오후 7:18,27,Education,0.1,woghks.study
58,갑자기 홍삼을 팔기 시작한 대형유튜버들,호갱구조대,9:14,2023-03-26,오후 7:05,26,Howto & Style,0.16,woghks.study
